M,d,P,muy,sdy,mux,sdx,theta0,theta00,sigma0,B0,S0,hopt
1,1,2,2-Jan,2-Jan,0,2-Jan,0.449357213,0.449357218,0.321871499,-0.253393554,0.401868835,0.085750582
2,1,4,2-Jan,2-Jan,0,2-Jan,0.449357213,0.449357218,0.321871499,-0.373734556,0.543951643,0.233023968
3,2,2,2-Jan,2-Jan,0,2-Jan,0.633182111,0.633182071,0.295767492,-0.114772971,0.516911833,0.122069113
4,2,4,2-Jan,2-Jan,0,2-Jan,0.633182111,0.633182071,0.295767492,-0.259745531,0.825978173,0.260773378
5,3,4,2-Jan,2-Jan,0,2-Jan,0.732473535,0.732473531,0.225899738,-0.141835324,0.680697099,0.297933023
6,1,2,2-Jan,3-Jan,0,3-Jan,0.229005142,0.229005145,0.209283163,-0.078989641,0.101308513,0.092039602
7,1,4,2-Jan,3-Jan,0,3-Jan,0.229005142,0.229005145,0.209283163,-0.091588124,-4.071824125,0.08912469
8,2,2,2-Jan,3-Jan,0,3-Jan,0.35570706,0.355707082,0.30488461,-0.078503591,0.584886073,0.107635259
9,2,4,2-Jan,3-Jan,0,3-Jan,0.35570706,0.355707082,0.30488461,-0.161752568,-3.959901298,0.165331703
10,3,4,2-Jan,3-Jan,0,3-Jan,0.456804922,0.456804919,0.357772925,-0.126645547,-2.194659399,0.238019209
11,1,2,2-Jan,4-Jan,0,3-Jan,0.208054133,0.208054138,0.203451149,-0.069599719,-0.29680711,0.048944181
12,1,4,2-Jan,4-Jan,0,3-Jan,0.208054133,0.208054138,0.203451149,-0.077131579,-7.056961181,0.077145554
13,2,2,2-Jan,4-Jan,0,3-Jan,0.350543755,0.350543769,0.318548734,-0.08149007,0.278460192,0.130793268
14,2,4,2-Jan,4-Jan,0,3-Jan,0.350543755,0.350543769,0.318548734,-0.167166575,-6.783933396,0.151975289
15,3,4,2-Jan,4-Jan,0,3-Jan,0.463976767,0.463976774,0.385397426,-0.13327128,-4.331980966,0.217564147
16,1,2,4-Mar,4-Mar,0,4-Jan,0.326631107,0.326631105,0.282540961,-0.108288138,1.318180512,0.043471237
17,1,4,4-Mar,4-Mar,0,4-Jan,0.326631107,0.326631105,0.282540961,-0.152597004,3.337696456,0.13552513
18,2,2,4-Mar,4-Mar,0,4-Jan,0.318250095,0.318250102,0.266021015,-0.040250336,1.018245678,0.079291974
19,2,4,4-Mar,4-Mar,0,4-Jan,0.318250095,0.318250102,0.266021015,-0.083502091,-7.957132326,0.13182116
20,3,4,4-Mar,4-Mar,0,4-Jan,0.327675116,0.327675057,0.260649736,-0.052948498,-15.81333615,0.158483658
21,1,2,1,2-Jan,0,5-Jan,0.279588224,0.27958822,0.275711151,-0.049066061,1.029213098,0.036259791
22,1,4,1,2-Jan,0,5-Jan,0.279588224,0.27958822,0.275711151,-0.053954577,-27.47242414,0.054728591
23,2,2,1,2-Jan,0,5-Jan,0.252394384,0.252394385,0.229358049,-0.029317496,-1.51402129,0.066335915
24,2,4,1,2-Jan,0,5-Jan,0.252394384,0.252394385,0.229358049,-0.060123772,-73.57521134,0.086141835
25,3,4,1,2-Jan,0,5-Jan,0.240787032,0.240787611,0.210210047,-0.035308599,-74.96602859,0.119755853
